Cleaned,Council District,Short Description,Type,Enrolled,Females,Max Count Allowed,Begin Age,End Age,Begin Date,End Date,Begin Time,End Time,Season,
Valley Plaza Park,2,Winter Basketball: Free Clinic (ALL GPLA DIVISIONS),Basketball,18,18,50,9,15,1/14/2017,3/18/2017, 2:00 pm, 3:30 pm,Winter,
Valley Plaza Park,2,Winter GPLA Basketball - Minor (9 - 10),Basketball,0,0,40,9,10,1/14/2017,3/18/2017, 9:00 am, 6:00 pm,Winter,
Poinsettia Recreation Center,5,Winter GPLA Basketball - Minor (9-10),Basketball,42,42,60,9,10,1/14/2017,2/25/2017, 2:00 pm, 7:00 pm,Winter,
Rosecrans Recreation Center,15,Winter GPLA Basketball - Minors (9-10),Basketball,31,31,50,9,10,1/14/2017,3/4/2017, 9:00 am, 5:00 pm,Winter,
Rosecrans Recreation Center,15,Winter GPLA Basketball,Basketball,0,0,30,9,15,1/14/2017,3/25/2017, 5:00 pm, 9:00 pm,Winter,
Stoner Recreation Center,11,Winter Basketball: GPLA Elementary (9-12),Basketball,0,0,30,9,12,1/14/2017,3/11/2017, 9:00 am, 2:00 pm,Winter,
Stoner Recreation Center,11,Winter GPLA Basketball,Basketball,0,0,60,9,15,1/14/2017,3/18/2017, 9:00 am, 6:00 pm,Winter,
Lincoln Park,1,Spring GPLA Softball: Juniors,Basketball,0,0,100,9,10,1/14/2017,2/25/2017, 9:00 am, 2:00 pm,Winter,
Normandale Recreation Center,15,Winter GPLA Basketball : Girls Minors,Basketball,0,0,60,9,11,1/14/2017,3/4/2017,11:00 AM, 3:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Basketball,Basketball,48,48,50,9,15,1/14/2017,4/1/2017, 9:00 am, 2:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Basketball: Minors,Basketball,0,0,60,9,10,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
Ritchie Valens Park,7,Winter GPLA Basketball: Minors,Basketball,0,0,50,9,10,1/14/2017,3/24/2017, 5:00 pm, 8:00 pm,Winter,
David M. Gonzales Recreation Center,7,Winter Basketball: GPLA Girls Elementary,Basketball,23,23,40,9,12,1/14/2017,3/4/2017, 9:00 am, 9:00 pm,Winter,
David M. Gonzales Recreation Center,7,Winter GPLA Basketball - Minors/Majors,Basketball,37,37,40,9,12,1/14/2017,3/25/2017, 9:00 am, 5:00 pm,Winter,
David M. Gonzales Recreation Center,7,Winter GPLA Basketball - Minors,Basketball,0,0,48,9,10,1/20/2017,3/4/2017,10:00 AM, 9:00 pm,Winter,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Basketball,Basketball,36,36,60,9,15,1/21/2017,3/18/2017, 6:00 pm, 8:00 pm,Winter,
Msgr. Ramon D. Garcia Recreation Center,14,Winter GPLA Volleyball,Volleyball,0,0,45,9,15,1/21/2017,3/18/2017, 6:00 pm, 8:00 pm,Winter,
